Input sentence,Output sentence
എന്തിരുന്നാലും സങ്കടം ഒന്നും പുറത്തു കാണിക്കാതെ വലിയത് എന്തോ നേടാൻ പോകുന്ന സന്തോഷം പുറത്ത് കാട്ടിക്കൊണ്ട് ഒരു ചെറു പുഞ്ചിരിയോടെയാണ് ആ ദിവസം എഴുന്നേൽക്കുന്നത്.,എന്തിരുന്നാലും സങ്കടം ഒന്നും പുറത്തു കാണിക്കാതെ വലുത് എന്തോ നേടാൻ പോകുന്ന സന്തോഷം പുറത്ത് കാട്ടിക്കൊണ്ട് ഒരു ചെറു പുഞ്ചിരിയോടെയാണ് ആ ദിവസം എഴുന്നേൽക്കുന്നത്.
ബാഗ് എല്ലാം കത്തിനിറച്ച് ഇരുപത്തിരണ്ട് കിലോ തുണിയും മറ്റ് സാധനങ്ങളും എടുത്ത് ഇറങ്ങി.,ബാഗ് എല്ലാം കുത്തിനിറച്ച് ഇരുപത്തിരണ്ട് കിലോ തുണിയും മറ്റ് സാധനങ്ങളും എടുത്ത് ഇറങ്ങി.
ഉറ്റ ബന്ധുക്കൾ അവസാനമായിട്ട് കാണാൻ എന്ന പോലെ രാവിലെ തന്നെ എത്തിയിരുന്നു,ഉറ്റ ബന്ധുക്കൾ അവസാനമായിട്ട് കാണാൻ എന്ന പോലെ രാവിലെ തന്നെ എത്തിയിരുന്നു.
അവർക്കും ചെറിയ വിഷമം കാണും,അവർക്കും ചെറിയ വിഷമം കാണും.
മുറ്റത്ത് അപ്പുവും കിങ്ങിണിയും കുഞ്ഞങ്ങളും എല്ലാം ഉണ്ട്.,മുറ്റത്ത് അപ്പുവും കിങ്ങിണിയും കുഞ്ഞുങ്ങളും എല്ലാം ഉണ്ട്.
വീട്ടിൽ ഏറ്റവും കൂടുതൽ പിരിയാൻ ദുഃഖം ഉള്ളത് അമ്മ കഴിഞ്ഞൽ പിന്നെ ഈ പൂച്ചകളാണ്.,വീട്ടിൽ ഏറ്റവും കൂടുതൽ പിരിയാൻ ദുഃഖം ഉള്ളത് അമ്മ കഴിഞ്ഞാൽ പിന്നെ ഈ പൂച്ചകളാണ്.
വീട്ടിലുണ്ടായിരുന്നപ്പോഴൊക്കെ ബോർ അടിക്കാതെ അവറ്കളോടു കൂടെ സമയം ചിലവഴിക്കാൻ വലിയ ഇഷ്ടം ആയിരുന്നു.,വീട്ടിലുണ്ടായിരുന്നപ്പോഴൊക്കെ ബോർ അടിക്കാതെ അവറ്റകളോടു കൂടെ സമയം ചിലവഴിക്കാൻ വലിയ ഇഷ്ടം ആയിരുന്നു
ഇനി സമയം കൊല്ലാൻ പുതിയ എന്തെങ്കിലും വഴി കണ്ടുപിടിക്കണം.,ഇനി സമയം കളയാൻ  പുതിയ എന്തെങ്കിലും വഴി കണ്ടുപിടിക്കണം.
അങ്ങനെ പെട്ടി എല്ലാം തകി ഇറങ്ങിയപ്പോൾ പത്തു മണി ആയി.,അങ്ങനെ പെട്ടി എല്ലാം തൂക്കി  ഇറങ്ങിയപ്പോൾ പത്തു മണി ആയി.
ഉച്ചയ്ക്കാണ് വിമാനം ഉള്ളത്.,ഉച്ചയ്ക്കാണ് വിമാനം.
അതുകൊണ്ട് പത്രണ്ട് മണിക്കു മുമ്പേ വിമാനത്താവളത്തിൽ എത്തണം,അതുകൊണ്ട് പത്രണ്ട് മണിക്കു മുമ്പേ വിമാനത്താവളത്തിൽ എത്തണം.
രാവിലെ വിശപ്പ് ഉണ്ടായില്ല,രാവിലെ വിശപ്പ് ഉണ്ടായില്ല.
അതുകൊണ്ട് വഴിയരികിൽ കാറു നിർത്തി 1.  ഒരു കരിക്കു വാങ്ങി തന്നു എന്റെ 2. അച്ചൻ.,അതുകൊണ്ട് വഴിയരികിൽ കാറു നിർത്തി അച്ഛൻ എനിക്ക് ഒരു കരിക്കു വാങ്ങി തന്നു.
അമ്മയുടെ മഖത്ത് നല്ല സങ്കടം ഇല്ലാതില്ല.,അമ്മയുടെ മുഖത്ത് നല്ല സങ്കടം ഇല്ലാതില്ല.
പക്ഷെ എന്നിക്കന്തോ നല്ല സങ്കടം വന്നു.,പക്ഷെ എനിക്കെന്തോ നല്ല സങ്കടം വന്നു.
ഞാൻ ആരും കാണാതെ കണ്ണനീർ തുടച്ചു.,ഞാൻ ആരും കാണാതെ കണ്ണുനീർ തുടച്ചു.
പിന്നെ പതയെ പുറത്തോട്ടു നോക്കി ഇരുന്നു.,പിന്നെ പതിയെ പുറത്തോട്ടു നോക്കി ഇരുന്നു.
പതിനൊന്ന് അര മണി ആയപ്പോൾ വിമാന താവളത്തിൽ എത്തി.,പതിനൊന്നര മണി ആയപ്പോൾ വിമാന താവളത്തിൽ എത്തി.
അച്ചൻ വണ്ടി ഒതുക്കി തിരിച്ച് വരും വരെ അമ്മ എന്റെ കൂടെ നിന്നു.,അച്ഛൻ വണ്ടി ഒതുക്കി തിരിച്ച് വരും വരെ അമ്മ എന്റെ കൂടെ നിന്നു.
എനിക്കും വിഷമം 1.  അമ്മയ്ക്കും വിഷമം.,"എനിക്കും വിഷമം 1. , അമ്മയ്ക്കും വിഷമം."
അമ്മ സ്ഥിരം ഉപദശങ്ങൾ ആവർത്തിക്കാൻ തുടങ്ങി.,അമ്മ സ്ഥിരം ഉപദേശങ്ങൾ ആവർത്തിക്കാൻ തുടങ്ങി.
"നല്ലതു പോലെ ഭക്ഷണം കഴിക്കണം 1.സമയത്ത് ഉറങ്ങണം, മരുന്നൊക്കെ മുടങ്ങാതെ കഴിക്കണം.","നല്ലതു പോലെ ഭക്ഷണം കഴിക്കണം 1., സമയത്ത് ഉറങ്ങണം, മരുന്നൊക്കെ മുടങ്ങാതെ കഴിക്കണം."
വരുമ്പോൾ ചെറിയ പണി  ഉണ്ടായിരുന്നു.,വരുമ്പോൾ ചെറിയ പനി ഉണ്ടായിരുന്നു.
അങ്ങനെ കുറച്ചു കഴിഞ്ഞപ്പോൾ അച്ചൻ പെട്ടിയുമായി തിരികെയെത്തി.,അങ്ങനെ കുറച്ചു കഴിഞ്ഞപ്പോൾ അച്ഛൻ  പെട്ടിയുമായി തിരികെയെത്തി.
അച്നും വിഷമമുണ്ട്.,അച്ഛനും വിഷമമുണ്ട്.
എന്നാലും മുഖത്ത് കാണിച്ചില്ല,എന്നാലും മുഖത്ത് കാണിച്ചില്ല.
പിന്നെ അച്ന്റെ വക ഒരു പത്ത് മിനിറ്റ് ഉപദേശം.,പിന്നെ അച്ഛന്റെ വക ഒരു പത്ത് മിനിറ്റ് ഉപദേശം.
ഈ ഉപദേശം നേരിട്ട് അടുത്തെങ്ങും കേൾക്കണ്ടല്ലോ എന്ന് വിചാരിച്ച് ഞാൻ മിണ്ടാതെ എല്ലാം കേട്ടുകൊണ്ട് ഇരുന്നു,ഈ ഉപദേശം നേരിട്ട് അടുത്തെങ്ങും കേൾക്കണ്ടല്ലോ എന്ന് വിചാരിച്ച് ഞാൻ മിണ്ടാതെ എല്ലാം കേട്ടുകൊണ്ട് ഇരുന്നു.
കുറച്ചു നേരം കഴിഞ്ഞപ്പോൾ അവരോട് യാത്ര പറഞ്ഞ് ഞാൻ താവളത്തിന്റെ ഉള്ളിലേക്ക് പ്രവേശിച്ചു,കുറച്ചു നേരം കഴിഞ്ഞപ്പോൾ അവരോട് യാത്ര പറഞ്ഞ് ഞാൻ താവളത്തിന്റെ ഉള്ളിലേക്ക് പ്രവേശിച്ചു.
ഇത് എന്റെ രണ്ടാമത്തെ വിമാനയാത്ര ആയിരുന്നു,ഇത് എന്റെ രണ്ടാമത്തെ വിമാനയാത്ര ആയിരുന്നു.
പരിചയസമ്പന് ആയ യുവതിയെ പോലെ ഞാൻ നടന്നു.,പരിചയസമ്പന്ന ആയ യുവതിയെ പോലെ ഞാൻ നടന്നു.
പെട്ടിക്കു നല്ല ഭാരം ഉള്ളത് കൊണ്ട് ട്രോളി ഉപയോഗിച്ചു,പെട്ടിക്കു നല്ല ഭാരം ഉള്ളത് കൊണ്ട് ട്രോളി ഉപയോഗിച്ചു.
പെട്ടിയുടെ ഭാരം അളക്കുന്ന കണ്ടർ എത്തിയപ്പോൾ ഭാരം ഇരുപത്തി രണ്ട് കിലോ.,പെട്ടിയുടെ ഭാരം അളക്കുന്ന കൌണ്ടർ എത്തിയപ്പോൾ ഭാരം ഇരുപത്തി രണ്ട് കിലോ.
അതുകൊണ്ടു തന്നെ അധികം പൈസ ആയി മൂവായിരം രൂപ കൊടുക്കേണ്ടി വന്നു,അതുകൊണ്ടു തന്നെ അധികം പൈസ ആയി മൂവായിരം രൂപ കൊടുക്കേണ്ടി വന്നു.
ചെലവിനായി തന്ന പൈസയിൽ മൂവായിരം രൂപ കുറഞ്ഞു അങ്ങനെ.,ചെലവിനായി തന്ന പൈസയിൽ മൂവായിരം രൂപ അങ്ങനെ കുറഞ്ഞു .
പിന്നെ അവിടന്നു ഗേറ്റിന്റെ അടുത്തേക്കു പ്രവേശിച്ചു,പിന്നെ അവിടന്നു ഗേറ്റിന്റെ അടുത്തേക്കു പ്രവേശിച്ചു.
വിശപ്പുണ്ട്,വിശപ്പുണ്ട്.
സാധാരണ വിമാനത്താവളത്തിൽ കാർഡ് ഉപയോഗിച്ച് വിഭവ സമദ്ധമായ ഭക്ഷണം കഴിക്കാനുള്ള സൗകര്യം ഉണ്ടെന്നു കേട്ടിട്ടുണ്ട്.,സാധാരണ വിമാനത്താവളത്തിൽ കാർഡ് ഉപയോഗിച്ച് വിഭവ സമൃദ്ധമായ ഭക്ഷണം കഴിക്കാനുള്ള സൗകര്യം ഉണ്ടെന്നു കേട്ടിട്ടുണ്ട്.
എന്നൽ എന്റെ കാർഡ് അവിടെ എടുക്കില്ല എന്ന് പറഞ്ഞു.,എന്നാൽ എന്റെ കാർഡ് അവിടെ എടുക്കില്ല എന്ന് പറഞ്ഞു.
ശുഭം,ശുഭം.
അകത്ത് മറ്റു കടകളിൽ ആണെങ്കിൽ ഭക്ഷണത്തിന് നല്ല പണം ആകും,അകത്ത് മറ്റു കടകളിൽ ആണെങ്കിൽ ഭക്ഷണത്തിന് നല്ല പണം ആകും.
അതു കൊണ്ട് വാങ്ങണ്ട എന്ന് വിചാരിച്ച് ഞാൻ കുറേ നേരം വെറുതെ ഇരുന്നു,അതു കൊണ്ട് വാങ്ങണ്ട എന്ന് വിചാരിച്ച് ഞാൻ കുറേ നേരം വെറുതെ ഇരുന്നു.
"കേറാൻ ഒരു പത്ത് മിനിട്ട് മുന്നെയാണ് എന്തെങ്കിലും ഇപ്പോൾ കഴിച്ചില്ലെങ്കിൽ പിന്നെ നല്ല വിശപ്പ് തോന്നും എന്ന് തോന്നിയത്, അതുകൊണ്ട് വേഗം ഒരു കട്ലറ്റും കഫിയും പറഞ്ഞു.","കേറാൻ ഒരു പത്ത് മിനിട്ട് മുന്നെയാണ് എന്തെങ്കിലും ഇപ്പോൾ കഴിച്ചില്ലെങ്കിൽ പിന്നെ നല്ല വിശപ്പ് തോന്നും എന്ന് തോന്നിയത്, അതുകൊണ്ട് വേഗം ഒരു കട്ലറ്റും കോഫിയും പറഞ്ഞു."
കട്ലറ്റും കഴിച്ചു,കട്ലറ്റും കഴിച്ചു.
എന്നാൽ കോഫി നല്ല ചൂടായത് കൊണ്ട് മുഴുവൻ കുടിക്കാൻ കഴിഞ്ഞില്ല.,എന്നാൽ കോഫിക്ക്  നല്ല ചൂടായത് കൊണ്ട് മുഴുവൻ കുടിക്കാൻ കഴിഞ്ഞില്ല.
എന്നിട്ട് വിമാനം കേറാൻ പോയി,എന്നിട്ട് വിമാനം കേറാൻ പോയി.
എന്റെ സീറ്റ് മധ്യേ ഉള്ളത് ആയിരുന്നു.,എന്റെ സീറ്റ് മദ്ധ്യേ  ഉള്ളത് ആയിരുന്നു.
വിമാനത്തിൽ കഴിഞ്ഞ തവണ ആദ്യമായി കേറിയപ്പോൾ ചെവി അടപ്പിക്കുന്ന വേദന ആയിരുന്നു.,വിമാനത്തിൽ കഴിഞ്ഞ തവണ കേറിയപ്പോൾ ചെവി അടപ്പിക്കുന്ന വേദന ആയിരുന്നു.
അതുകൊണ്ടു തന്നെ ഇത്തവണ ആ വേദന കുറയ്ക്കാനായി എന്തെങ്കിലും കഴിച്ചു കൊണ്ട് ഇരുന്നാൽ മതിയെന്ന് വായിച്ചിട്ടുണ്ട്.,ആ വേദന കുറയ്ക്കാനായി എന്തെങ്കിലും കഴിച്ചു കൊണ്ട് ഇരുന്നാൽ മതിയെന്ന് വായിച്ചിട്ടുണ്ട്.
അതുകൊണ്ടു എന്റെ കയ്യിലിരുന്ന ചൂയിഗം ഞാൻ എടുത്ത് വായിലിട്ട് ചവച്ച് കൊണ്ടിരുന്നു.,അതുകൊണ്ടു എന്റെ കയ്യിലിരുന്ന ചൂയിംഗം ഞാൻ എടുത്ത് വായിലിട്ട് ചവച്ച് കൊണ്ടിരുന്നു.
എന്റെ അടുത്ത് ഒരു ആന്റി ആയിരുന്നു ഇരുന്നത്,എന്റെ അടുത്ത് ഒരു ആന്റി ആയിരുന്നു ഇരുന്നത്.
അവർ പുറത്ത് നോക്കി ജനലിനോട് ചേർന്ന് ഇരുന്നത് കണ്ട് എനിക്ക് പുറത്തുള്ള കാഴ്ചകൾ ഒന്നും കാണാൻ കഴിഞ്ഞില്ല.,അവർ പുറത്ത് നോക്കി ജനലിനോട് ചേർന്ന് ഇരുന്നത് കൊണ്ട് എനിക്ക് പുറത്തുള്ള കാഴ്ചകൾ ഒന്നും കാണാൻ കഴിഞ്ഞില്ല.
ദുഃഖം ചെറുതായിട്ടുണ്ടായി,ദുഃഖം ചെറുതായിട്ടുണ്ടായി.
എന്നാലും കാര്യമാക്കിയില്ല,എന്നാലും കാര്യമാക്കിയില്ല.
കുറചൊന്ന് മയങ്ങി.,കുറച്ചൊന്ന് മയങ്ങി.
രണ്ടു മണിക്കൂർ എടുത്തു വിമനം മുംബൈയിൽ എത്താൻ.,രണ്ടു മണിക്കൂർ എടുത്തു വിമാനം മുംബൈയിൽ എത്താൻ.
അവിടന്ന് വിമനം ഇറങ്ങി പെട്ടി എടുക്കാൻ നടന്നു.,അവിടന്ന് വിമാനം ഇറങ്ങി പെട്ടി എടുക്കാൻ നടന്നു.
കുറച്ചു നേരം അവിടെ കാത്തു നിന്നപ്പോൾ പെട്ടി പതിയെ അടുത്തോട്ടു വരുന്നതു കണ്ടു.,കുറച്ച് നേരം അവിടെ കാത്തു നിന്നപ്പോൾ പെട്ടി പതിയെ അടുത്തോട്ടു വരുന്നതു കണ്ടു
പെട്ടി നഷ്ടപ്പെട്ടില്ല.,പെട്ടി നഷ്ടപ്പെട്ടില്ല.
ഒടുവിൽ പെട്ടിയും തൂക്കി പുറത്തേക്ക് ഇറങ്ങി.,ഒടുവിൽ പെട്ടിയും തൂക്കി പുറത്തേക്ക് ഇറങ്ങി.
എങ്ങോട്ടു പോകണം എന്ന് നിശ്ചയം ഇല്ല.,എങ്ങോട്ട് പോകണം എന്ന് നിശ്ചയം ഇല്ല.
പുറത്തിറങ്ങി ടാക്സി വിളിച്ച് സ്ഥലത്ത് എത്തണം എന്ന മാത്രം അറിയാം.,പുറത്തിറങ്ങി ടാക്സി വിളിച്ച് സ്ഥലത്ത് എത്തണം എന്നു മാത്രം അറിയാം.
അങ്ങനെ പുറത്തേക്ക് നടന്നു,അങ്ങനെ പുറത്തേക്ക് നടന്നു.
പണ്ടു മുതലേ പരിചയം ഇല്ലാത്തവരോട് സംസാരിക്കാൻ മടി ആയത് കൊണ്ട് ആരോടും ചോദിക്കാതെ ഒരു നിമിഷം ചുറ്റും നോക്കികൊണ്ട് വെറുതെ നിന്നു.,പണ്ട് മുതലേ പരിചയം ഇല്ലാത്തവരോട് സംസാരിക്കാൻ മടി ആയത് കൊണ്ട് ആരോടും ചോദിക്കാതെ ഒരു നിമിഷം ചുറ്റും നോക്കികൊണ്ട് വെറുതെ നിന്നു.
നല്ല തിരക്കുണ്ട്,നല്ല തിരക്കുണ്ട്.
നോക്കിയപ്പോൾ പെട്ടി നീക്കികൊണ്ട് കുറെ ആളുകൾ പോകുന്നു. ,നോക്കിയപ്പോൾ കുറെ ആളുകൾ പെട്ടി നീക്കികൊണ്ട് പോകുന്നു.
എന്നാൽ പിന്നെ അവരുടെ പറകെ പോകാം എന്നു വിചാരിച്ച്  നടന്നു. ,എന്നാൽ പിന്നെ അവരുടെ പിറകെ പോകാം എന്നു വിചാരിച്ച്  നടന്നു. 
അത് ആളുകൾ വഹനങ്ങൾ പാർക്ക് ചെയ്യുന്ന സ്ഥലം ആയിരുന്നു. ,അത് ആളുകൾ വാഹനങ്ങൾ പാർക്ക് ചെയ്യുന്ന സ്ഥലം ആയിരുന്നു. 
ആ വഴി പുറത്തേക്ക് കടക്കാം എന്ന് വിചാരിച്ച് പകുതി വഴി ആയപ്പോൾ 1. ആ വഴിക്ക് മുകളിലോട്ട് ഒരു ചരിവ്.,"ആ വഴി പുറത്തേക്ക് കടക്കാം എന്ന് വിചാരിച്ച് പകുതി വഴി ആയപ്പോൾ 1. , ആ വഴിക്ക് മുകളിലോട്ട് ഒരു ചരിവ്."
അങ്ങനെ എന്റെ ഭാരിച്ച 1. പൊട്ടി നീക്കി കൊണ്ട് ഞാൻ ആ 2. തേരി മുഴുവൻ നടന്നു കയറി. ,അങ്ങനെ എന്റെ ഭാരിച്ച പെട്ടി നീക്കി കൊണ്ട് ഞാൻ ആ  വഴി  മുഴുവൻ നടന്നു കയറി. 
അത് കഴിഞ്ഞ് വീണ്ടും കുറച്ചു ദൂരം കൂടി നടക്കാൻ ഉണ്ടായിരുന്നു. ,അത് കഴിഞ്ഞ് വീണ്ടും കുറച്ച് ദൂരം കൂടി നടക്കാൻ ഉണ്ടായിരുന്നു. 
അങ്ങനെ ആ ദൂരവും നടന്നു കയറി അവസാനം റോഡരികിൽ എത്തി,അങ്ങനെ ആ ദൂരവും നടന്നു കയറി അവസാനം റോഡരികിൽ എത്തി. 
അവിടെ നിന്ന് ഒരു ടാക്സി വിളിച്ച് ഞാൻ താമസിക്കാൻ പോകുന്ന സ്ഥലത്ത് എത്തി,അവിടെ നിന്ന് ഒരു ടാക്സി വിളിച്ച് ഞാൻ താമസിക്കാൻ പോകുന്ന സ്ഥലത്ത് എത്തി.
എന്നെ കത്ത് ഇവിടെ എന്റെയൊരു സുഹൃത്ത് വന്നു.,എന്നെ കാത്ത് ഇവിടെ എന്റെയൊരു സുഹൃത്ത് വന്നു.
അങ്ങനെ ഞങ്ങൾ ഒരുമിച്ച് ഭക്ഷണം കഴിക്കൻ കയറി.,അങ്ങനെ ഞങ്ങൾ ഒരുമിച്ച് ഭക്ഷണം കഴിക്കാൻ കയറി.
ഒരു മസാല ദോശ പറഞ്ഞു ഞങ്ങൾ രണ്ടു പേർക്കും.,ഞങ്ങൾ രണ്ടു പേർക്കും ഒരു മസാല ദോശ പറഞ്ഞു.
അതിനുശേഷം ഞാൻ താമസിക്കാൻ പോകുന്ന സ്ഥലം കാണിക്കാൻ ബ്രോക്കർ വന്നു,അതിനുശേഷം ഞാൻ താമസിക്കാൻ പോകുന്ന സ്ഥലം കാണിക്കാൻ ബ്രോക്കർ വന്നു. 
ആറാമത്തെ നിലയിലാണ് റൂം ഉള്ളത്.,ആറാമത്തെ നിലയിലാണ് റൂം .
അവിടുത്തെ ലിഫ്റ്റ് നല്ല പഴയ ലിഫ്റ്റ് ആയിരുന്നു.,അവിടുത്തെ നല്ല പഴയ ലിഫ്റ്റ് ആയിരുന്നു.
റൂം അത്യാവശ്യം നല്ലത തന്നെ ആയിരുന്നു.,റൂം അത്യാവശ്യം നല്ലതു തന്നെ ആയിരുന്നു.
എന്റെ പെട്ടി എല്ലാം അവിടെ ഒതുക്കി വെച്ച ഞാൻ അവിടെ കുറച്ചു നേരം കിടന്നു.,എന്റെ പെട്ടി എല്ലാം അവിടെ ഒതുക്കി വെച്ച് ഞാൻ അവിടെ കുറച്ചു നേരം കിടന്നു.
നല്ല ക്ഷീണം ഉണ്ടായിരുന്നു,നല്ല ക്ഷീണം ഉണ്ടായിരുന്നു.
കുളി ഒക്കെ കഴിഞ്ഞ് ഞാൻ സ്ഥലം കാണൻ പുറത്തേക്ക് ഇറങ്ങി.,കുളി ഒക്കെ കഴിഞ്ഞ് ഞാൻ സ്ഥലം കാണാൻ പുറത്തേക്ക് ഇറങ്ങി.
ഒപ്പം സുഹൃത്തും ഉണ്ടായിരുന്നു,ഒപ്പം സുഹൃത്തും ഉണ്ടായിരുന്നു.
ഞങ്ങൾ പുറത്ത് കുറച്ച് ദൂരം നടന്നു,ഞങ്ങൾ പുറത്ത് കുറച്ച് ദൂരം നടന്നു.
അവൻ അവിടെയുള്ള പ്രധനപ്പെട്ട കടകളും വഴികളും എല്ലാം പറഞ്ഞുതന്നു. ,അവൻ അവിടെയുള്ള പ്രധാനപ്പെട്ട കടകളും വഴികളും എല്ലാം പറഞ്ഞുതന്നു. 
നല്ല ഒച്ചയും ബഹളവും നിറഞ്ഞ ഒരു നഗരം,നല്ല ഒച്ചയും ബഹളവും നിറഞ്ഞ ഒരു നഗരം.
ഒരു മിനിറ്റ് പോലും 1. എന്തിന് 2. ഒരു സെക്കന്റ് പോലും 3.  വാഹനം ഇല്ലാതെ റോഡ് കാണാൻ ആവില്ല.,"ഒരു മിനിറ്റ് പോലും 1. , എന്തിന് 2. , ഒരു സെക്കന്റ് പോലും 3. , വാഹനം ഇല്ലാതെ റോഡ് കാണാൻ ആവില്ല."
ഞാൻ തിരിച്ചെത്തി വീട്ടിലേക്ക് വിളിച്ചു ,ഞാൻ തിരിച്ചെത്തി വീട്ടിലേക്ക് വിളിച്ചു. 
സുരക്ഷിതമായി എത്തി എന്നറിഞ്ഞപ്പോൾ അവൾക്ക് സമാധാനമായി.,സുരക്ഷിതമായി എത്തി എന്നറിഞ്ഞപ്പോൾ അവർക്ക്  സമാധാനമായി.
നല്ല ക്ഷീണം ആയത കൊണ്ട് നേരത്തേ കിടക്കാം എന്ന് കരുതി.,നല്ല ക്ഷീണം ആയതു കൊണ്ട് നേരത്തേ കിടക്കാം എന്ന് കരുതി.
